Query Code,Query Variations
A12,"goimidzolimin, kaomidzolimiin, kaumidz dzaalimiin, kaumidzalimin, kaumizholimin, kaumizzolimin, khoumiz zolimin, qaumadzaalimin, qaumi dzalimiim, qaumi dzolimin, qaumiddhoolimiin, qaumiddzaalimiin, qaumidhdholimiin, qaumidz dzaalimiin, qaumidz dzalimiin, qaumidz dzalimin, qaumidz-dzaalimiin, qaumidzaalimiin, qaumidzalimiin, qaumidzalimin, qaumidzdzolimin, qaumidzhdzhaalimiin, qaumidzolimin, qaumizh zhaalimiin, qaumizh zhalimiin, qaumizh zhalimin, qaumizhalimiin, qaumizhalimin, qaumizhoolimiin, qaumizhzhaalimiin, qaumizhzhalimin, qaumizzaalimiin, qaumizzalimin, qaumizzolimiin, qaummiddlaalimiin, qawmidzdzalimiiiin, qawmizh zhaalimiiiin, qomidzolimiin, qomidzzoolimiin, qoumiddhoolimiin, qoumiddolimiin, qoumiddzolomin, qoumidhalimiin, qoumidholimiin, qoumidholimin, qoumidhoolimiin, qoumidolimin, qoumidz dzolimiin, qoumidzolimiiin, qoumidzolimiin, qoumidzolimin, qoumidzollimiin, qoumidzoolimiin, qoumil dzolimin, qoumin dzolimin, qoumiz zholimiin, qoumizh zhaalimiin, qoumizzolimiin, qoummidzalimiin, qowmizzolimiin, yaumidzolimiinn"
A13,"dallin, dhaaaaaalliiiin, dhaaaaallin, dhaaalliiin, dhaaalliin, dhaaliin, dhaalliin, dhaalliin., dhalin, dhalliin, dhallin, dhlaaalliin, dholiin, dholin, dholliin, dhollin, dhooliin, dhoolliiiiiin, dhoolliiin, dhoolliin, dhooolin, dhooolliin, dhoooollliiiiiiin, dolin, dolliin, dollin, dooliin, dooliinn, doolliin, doooliiin, doooolliiinn, doooooolliiin, dzaaliim, dzalliiin, dzalliin, dzhoooniin, dzoliin, dzolim, dzolin, dzolliin, dzollin, dzooliin, dzoolliin, dzãlliin, laalin"
A14,"illa mimba'di majaa, miim ba'dimaajaa, miimba'dimajaa, miinba'di maa jaa, mil ba dimaja, mim ba' di ma ja, mim ba' di maajaaa, mim ba'di ma ja, mim ba'di ma jaa, mim ba'di maa jaa, mim ba'di majaa, mim ba'dimaa jaaa'a, mim badinaajaa, mim baqdi maa jaa, mimaba’dimaja, mimba' dimajaa, mimba'adi maakaa, mimba'di ma baa, mimba'di maa jaa, mimba'di maajaa, mimba'di..., mimba'dima jaa'a, mimba'dimaa jaaa'a, mimba'dimaaja, mimba'dimaja, mimba'dimajaa, mimba'dimaza, mimbadimaja, mimba’dimaja, mimdaminaka, mimmba'di maa jaa, mimmba'di maa jaa', mimmba'di maajaa, mimmba'dimaa jaa, min ba'di ma ja'a, min ba'di maa jaa, min ba'di maa jaa a, min ba'di maa jaa'a, min ba'di maa jaaaaa, min ba'di maajaa, min ba'di maajaa', min ba'di maajaa-a, min ba'di majaa, min ba'dima ja, min ba'dima za, min ba'dimaja', min ta'tima jaa, min ta'timaa jaa, minba' dimaja, minba'di maa jaa, minbadimaja, minda'dimaajaa, mindakdinaja, mindamilaja, ming ba'di ma jaaa, ming ta'di maajaa, ming taktimaja, mingba'di mazaa, mingta'timaajaa, minnta'timajazz, minnta'timazaa, minta'dimaja, mintaktiimajaa, mitaddimajaa"
A15,"angjil, angzil, anjil, anndzil, annzil, anzil, tan zil, tan' zil, tan'dzil, tandzil, tang ziil, tangdziil, tangdzil, tangjiil, tangzi lul, tangziil, tangzil, tannnziil, tannzil, tanzdin, tanziil, tanzil"
A16,"fa oolaaaika, fa ula ika hum, fa ula'ika, fa ulaa ika, fa ulaa ika hu, fa ulaa'ika, fa ulaaa ika humul, fa ulaaaika, fa ulaaika, fa ulaika, fa'ulaa ikaa, fa'ulaaa ika, fa'ulaaika, faaula ikaa, faula ika, faula ika , faula ikab, faulaa ika, faulaaa ika, faulaaaaaaa ika, faulaaaaaika, faulaaaaika , faulaaaika, faulaaika, faulaaikahu, faulaaikahum, faulaika, faunnaika, kaulaa ika, taulaaika, tsaula ika, tsaulaa ika, tsaulaika, wa ulaa ika, was ula ika hum, waulaaika, waulaika"
B1,"subahanallahi, subhaanallaahi, subhaanallah, subhaanallahi, subhaanallohi, subhaanalloohi, subhahanallah, subhanallaahi, subhanallah, subhanallah , subhanallahi, subhanallohi, subhanawlohi, subhannallah, subhannallahi, subhannallahu, tsubhanallahi"
B2,"baashithuun, baashituun, baasikuun, baasithuun, bashikun, basitun, bazikull, daasiikuuun, dasithuun, dzaasithuun, dzashikuun, dzasikuun, dzasiquun, dzazikun, fa siqun, faa syiquun, faaasiquuuun, faasikuul, faasikuun, faasiquun, faasiquuuun, faasiquuuuun, fashikunn, fasikkuuunn, fasikul, fasikun, fasiqun, fasiquul, fasiquun, fasiquuun, fasyikuun, jasikun, laashikuun, mashithun, taa siquun, tasitul, tasyikuun, yasikuun, zdasyikuun"
B3,"muf lihul, mufhlihun, mufli'un, muflidun, muflihhuun, muflihul, muflihun, muflihunn, muflihuul, muflihuum, muflihuun, muflihuunn, muflihuuun, muflihuuuun, muflikhun, muflikhuun, muhlihun, mulihun"
B4,"mutaqin, muttaqiiiin, muttaqiiin, muttaqiim, muttaqiin, muttaqiinn, muttaqin"
B5,"aaktsaron naasi, akfaro annas, akfaronnas, akfaronnasi, akh farannas, akhfaronnas, akhsarannas, akhsaronnash, akhtarannas, akhtarannasi, akhtaronnasi, akhtsaronnasi, aksaran naasi, aksaranas, aksarannaasi, aksarannasi, aksaron, aksaron nash, aksaronas, aksaronnaasi, aksaronnas, aksaronnasi, aksaronnassy, aksarunnasi, aksharannasi, aktsaraan naasi, aktsaran naasi, aktsaran naasii, aktsaran nasi, aktsaran-naasi, aktsarannaasi, aktsarannas, aktsarannasi, aktsaron nassi, aktsaronnaas, aktsaronnaasi, aktsaronnas, aktsaronnasi, aqsaraan, aqsaronnas, aqsaronnasi, aqsaroonasi, aqsharonnas, aqsoronnasi, aqtsaronnaas, aqtsaronnaasi, aqtsaronnasi, fa akfaronnaasi, fa aksyarannaasi, fa aktsaran naasi, faaksharaannasi, faaktsarannnaasi, iqtaronnas, la aktsaronnasi, taaqtsaraannasii"
